subject,courseNumber,courseTitle,description
EE,255,REAL-TIME EMBEDDED SYSTEMS,"4 Units, Lecture, 3 hours; discussion, 1 hour. Prerequisite(s): CS 120B or EE 120B;  graduate standing. Covers fundamentals and principles of real-time embedded systems. Topics include uniprocessor and multiprocessor real-time scheduling, real-time operating systems, synchronization, resource reservation, memory management, and power management. Introduces mathematical techniques for real-time system analysis. Offers hands-on experience with designing, implementing, and evaluating real-time systems on embedded platforms.  May be taken Satisfactory (S) or No Credit (NC) with consent of instructor and graduate advisor.   Cross-listed with CS 251."
EE,259,COLLOQUIUM IN ELECTRICAL ENGINEERING,"1 Unit, Colloquium, 1 hour. Prerequisite(s): graduate standing. Lectures on current research topics in electrical engineering relating to professional development presented by faculty members and visiting scientists. Graded Satisfactory (S) or No Credit (NC). Course is repeatable."
EE,260,SEMINAR IN ELECTRICAL ENGINEERING,"1 to 4 Units,  Seminar, 1 to 4 hours. Prerequisite(s): consent of instructor Seminar on current research topics in electrical engineering, including areas such as signal processing, image processing, control, robotics, intelligent systems, computer vision, and pattern recognition. Course is repeatable to a maximum of 16 units."
EE,277,DATA CENTRIC COMPUTER ARCHITECTURE,"4 Units, Lecture, 3 hours; research, 3 hours. Prerequisite(s): CS 161;  graduate standing;  or consent of instructor. Addresses the rapid growth of dataset size and the introduction of hardware accelerators, resulting in the data movement overhead becoming the major performance bottleneck. Includes system interconnects, I/O stacks, emerging nonvolatile memory technologies, near-data processing, and data flow architectures.  May be taken Satisfactory (S) or No Credit (NC) with consent of instructor and graduate advisor.   Cross-listed with CS 277."
EE,284A,INTRO TO ENGINEERING OPTIMIZATION TECHNIQUES,"4 Units, Lecture, 3 hours; discussion, 1 hour. Prerequisite(s):  graduate standing;  or consent of instructor. Introduction to formulating and solving optimization problems in engineering. Includes single-variable and multi-variable optimization; linear programming-simplex method; nonlinear unconstrained optimization-gradient, steepest descent, and Newton methods; and nonlinear constrained optimization-gradient projection methods. Addresses applications of optimization in engineering design problems. Solves various engineering optimization examples using MATLAB.  May be taken Satisfactory (S) or No Credit (NC) with consent of instructor and graduate advisor.   Credit is awarded for one of the following  EE 284A or ENGR 160."
EE,290,DIRECTED STUDIES,"1 to 6 Units,  Individual Study, 3 to 18 hours. Prerequisite(s): graduate standing; consent of instructor and Graduate Advisor. Individual study, directed by a faculty member, of selected topics in electrical engineering. Graded Satisfactory (S) or No Credit (NC). Course is repeatable to a maximum of 12 units."
EE,297,DIRECTED RESEARCH,"1 to 6 Units, Research, 3 to 18 hours. Prerequisite(s): graduate standing; consent of instructor Research conducted under the supervision of a faculty member on selected problems in electrical engineering. Graded Satisfactory (S) or No Credit (NC). Course is repeatable."
EE,298I,INDIVIDUAL INTERNSHIP IN ELECTRICAL ENGINEERING,"1 to 12 Units, Internship, 2 to 24 hours; written work, 1 to 12 hours. Prerequisite(s): graduate standing; consent of instructor. Provides the Electrical Engineering graduate student with career experience as an electrical engineer in an industry or a research unit. Includes fieldwork with an approved professional individual or organization and academic work under the direction of a faculty member. Requires a final report. Graded Satisfactory (S) or No Credit (NC). Course is repeatable to a maximum of 12 units."
EE,299,RESEARCH FOR THE THESIS OR DISSERTATION,"1 to 12 Units, Research, 3 to 36 hours. Prerequisite(s): graduate standing; consent of instructor./ Research in electrical engineering for the M.S. thesis or Ph.D. dissertation. Graded Satisfactory (S) or No Credit (NC). Course is repeatable."
ENGR,101G,PROFESSIONAL DEVELOPMENT AND MENTORING,"1 Unit, Activity, 30 hours per quarter. Prerequisite(s):  restricted to class level standing of junior;  restricted to major(s) Bioengineering, Bioengineering BS + MS, Chemical Engineering, Chemical Engineering BS + MS, Computer Engineering, Computer Science, Computer Science BS + MS, Electrical Engineering, Electrical Engineering BS + MS, Environmental Engineering, Environmental Engr BS + MS, Materials Science and Engineer, Mechanical Engineering, Mechanical Engineering BS + MS. Provides opportunities with involvement in professional development activities. May include projects, industry overviews and interactions, involvement with professional societies and clubs, team building, career guidance, and coverage of ethics and lifelong learning issues. E.   Bioengineering;  F.   Chemical Engineering;  G.   Computer Engineering;  I.   Computer Science;  J.   Electrical Engineering;  K.   Environmental Engineering;  M.   Computer Science With Business Applications."
ENGR,101I,PROFESSIONAL DEVELOPMENT AND MENTORING,"1 Unit, Activity, 30 hours per quarter. Prerequisite(s):  restricted to class level standing of junior;  restricted to major(s) Bioengineering, Bioengineering BS + MS, Chemical Engineering, Chemical Engineering BS + MS, Computer Engineering, Computer Science, Computer Science BS + MS, Electrical Engineering, Electrical Engineering BS + MS, Environmental Engineering, Environmental Engr BS + MS, Materials Science and Engineer, Mechanical Engineering, Mechanical Engineering BS + MS. Provides opportunities with involvement in professional development activities. May include projects, industry overviews and interactions, involvement with professional societies and clubs, team building, career guidance, and coverage of ethics and lifelong learning issues. E.   Bioengineering;  F.   Chemical Engineering;  G.   Computer Engineering;  I.   Computer Science;  J.   Electrical Engineering;  K.   Environmental Engineering;  M.   Computer Science With Business Applications."
ENGR,101M,PROFESSIONAL DEVELOPMENT AND MENTORING,"1 Unit, Activity, 30 hours per quarter. Prerequisite(s):  restricted to class level standing of junior;  restricted to major(s) Bioengineering, Bioengineering BS + MS, Chemical Engineering, Chemical Engineering BS + MS, Computer Engineering, Computer Science, Computer Science BS + MS, Electrical Engineering, Electrical Engineering BS + MS, Environmental Engineering, Environmental Engr BS + MS, Materials Science and Engineer, Mechanical Engineering, Mechanical Engineering BS + MS. Provides opportunities with involvement in professional development activities. May include projects, industry overviews and interactions, involvement with professional societies and clubs, team building, career guidance, and coverage of ethics and lifelong learning issues. E.   Bioengineering;  F.   Chemical Engineering;  G.   Computer Engineering;  I.   Computer Science;  J.   Electrical Engineering;  K.   Environmental Engineering;  M.   Computer Science With Business Applications."
ENGR,108,TECHNOLOGY IN THE PREMODERN WORLD,"4 Units, Lecture, 3 hours; individual study, 3 hours. Prerequisite(s):  restricted to class level standing of junior, or  senior;  or consent of instructor. Survey of technological developments in ancient and early-modern Japan, China, India, the Middle East, Africa, Central and South America, and Europe. Focuses on key mechanical and civil technologies and the role of the state in their development.     Cross-listed with HIST 108."
ENGR,109,"TECHNOLOGY IN MODERN EUROPE AND AMERICA, 1700-PRESENT","4 Units, Lecture, 3 hours; individual study, 3 hours. Prerequisite(s): upper-division standing or consent of instructor. Examines the emergence of modern Europe through the first and second industrial revolutions in Europe and America. Explores the development of device commodities as the typical form of consumer technology in the nineteenth and twentieth centuries, as well as addresses philosophical issues in understanding technology. Cross-listed with HIST 109."
ENGR,160,INTRODUCTION TO ENGINEERING OPTIMIZATION TECHNIQUES,"4 Units, Lecture, 3 hours; discussion, 1 hour. Prerequisite(s): MATH 010A; CS 010A or EE 020B or ME 018A, ME 018B; for the ENGR 160 online section; enrollment in the Master-in-Science in Engineering program. Introduction to formulating and solving optimization problems in engineering. Includes single-variable and multi-variable optimization; linear programming - simplex method; nonlinear unconstrained optimization-gradient, steepest descent, and Newton methods; and nonlinear constrained optimization - gradient projection methods. Addresses applications of optimization in engineering design problems. Solves various engineering optimization examples using MATLAB.     Credit is awarded for one of the following  ENGR 160 or EE 284A."
ENGR,171,GLOBALIZATION,"4 Units, Lecture, 3 hours; discussion, 1 hour. Prerequisite(s):  restricted to class level standing of junior, or  senior. Covers technological drivers of globalization.  Includes social, economic, and political consequences. Explores the cultural aspects of globalization, including barriers and drivers for economic and cultural interdependence and integration. Also explores virtual global organizations.     Cross-listed with NASC 171, and PBPL 171."
ENGR,180W,TECHNICAL COMMUNICATIONS,"4 Units, Lecture, 3 hours; workshop, 3 hours. Prerequisite(s): ENGL 001B with a grade of C or better, ENGL 007, may be taken concurrently; for concurrent enrollment in ENGL 007, review the course titles or topics in the current online Schedule of Classes to find the corresponding ENGL 007 writing workshop; restricted to class level standing of junior, or senior. Develops oral, written, and graphical communication skills. Includes preparing and critiquing reports, proposals, instructions, and business correspondence. Emphasizes professional and ethical responsibilities and the need to stay current on technology and its global impact on economics, society, and the environment. Fulfills the third-quarter writing requirement for students who earn a grade of ""C"" or better for courses that the Academic Senate designates, and that the student's college permits, as alternatives to English 001C."
ENGR,198I,INDIVIDUAL INTERNSHIP,"1 to 12 Units, Internship, 3 to 36 hours. Prerequisite(s): upper-division standing or consent of instructor; consent of off-campus supervisors and appropriate Engineering program chair. Designed to provide experience as a practicing engineer in a governmental, industrial, or research unit. Jointly supervised by an off-campus sponsor and an Engineering faculty member. Requires a written final report. Units may not be used to satisfy major requirements."
ENGR,201,TECHNOLOGY INNOVATION AND STRATEGY FOR ENGINEERS,"4 Units, Lecture, 4 hours. Prerequisite(s): graduate standing in Engineering. ENGR 201 online section; enrollment in the Online Master-in-Science in Engineering program . Provides coverage of innovation, innovation project management, innovation protection management, organizational structuring and collaboration, and human resource management of technical professions. Brings together business models, leading academic research, and current organizational concerns in a blended learning environment that explores real companies and their strategies."
ENGR,202,INTRODUCTION TO SYSTEMS ENGINEERING,"4 Units, Lecture, 4 hours. Prerequisite(s): graduate standing in Engineering
. ENGR 202 online section; enrollment in the Online Master-in-Science in Engineering program  An introduction to systems, the systems design process, systems analysis and design evaluation, design for operational feasibility, and systems engineering management.  Describes subjects such as requirements analysis, concept definition, system synthesis, design analysis, design tradeoffs, risk tradeoffs, interface definition, engineering design, and systems integration."
ENGR,206,ENGINEERING ECONOMICS,"4 Units, Lecture, 4 hours. Prerequisite(s):  graduate standing in Engineering. For the ENGR 206 online section; enrollment in the Master of Science in Engineering program;  graduate standing. Presents the techniques and methods that enable the engineer manager to make better informed decisions that improve the value of organizations. Integrates leading academic research and current organizational concerns. Explores real companies and their strategies for evaluating the economic potential of engineering managerial decisions."
ENGR,296,PROFESSIONAL PROJECT DESIGN,"1 to 4 Units, Individual Study, 3 to 12 hours; written work, 3 to 12 hours. Prerequisite(s): enrollment in the Online Master in Science in Engineering program and consent of the instructor. A directed specialized professional written design project.  The design project will have a literature review, abstract, introduction, discussion and conclusion along with references.  The design project topic will be determined between the instructor and student. Graded Satisfactory (S) or No Credit (NC). Course is repeatable to a maximum of 4 units"
ENGL,001A,BEGINNING COMPOSITION,"4 Units, Lecture, 3 hours; written work, 3 hours. Prerequisite(s): ENGL 004 with a grade of C or better or ENGL 005 with a grade of C or better; fulfillment of the University of California Entry Level Writing Requirement. Introduces students to the strategies of personal writing in a multicultural context. Students must be formally enrolled prior to the beginning of instruction and must attend the first day to avoid being dropped from the class.  Credit is awarded for only one of ENGL 001A or ENGL 01PA."
ENGL,001B,INTERMEDIATE COMPOSITION,"4 Units, Lecture, 3 hours; extra writing and rewriting, 3 hours. Prerequisite(s): ENGL 001A with a grade of ""C"" or better or ENGL 01PA with a grade of ""C"" or better. Emphasizes the transition from personal to public writing in a multicultural context. Students must be formally enrolled prior to the beginning of instruction and must attend the first day to avoid being dropped from the class."
ENGL,001C,APPLIED INTERMEDIATE COMPOSITION,"4 Units, Lecture, 3 hours; extra reading, 3 hours; extra writing and rewriting, 3 hours. Prerequisite(s): ENGL 001B with grade of ""C"" or better. Addresses the function of writing in a range of contemporary situations, including that of the academy, from a critical and theoretical perspective.  Students must be formally enrolled prior to the beginning of instruction and must attend the first day to avoid being dropped from the class. Credit is awarded for only one of ENGL 001C, ENGL 01HC, or ENGL 01SC."
ENGL,004,ENGLISH WRITING,"4 Units, Lecture, 3 hours; extra reading, 3 hours. Prerequisite(s): an appropriate score on the University of California Analytical Writing Placement Exam or a grade of ""S"" in BSWT 003; concurrent enrollment in ENGL 004L for Fall, Winter, Spring, and Summer for the online section only; concurrent enrollment in ENGL 004D for Summer in-person sections. Covers ground rules of academic inquiry and exchange in English writing.  Students who pass the course with a grade of ""C"" or better have completed the University of California Entry Level Writing Requirement and are eligible to enroll in ENGL 001A.  Students should be formally enrolled prior to the beginning of instruction and should attend the first meeting to avoid being dropped from the class. Satisfactory (S) or No Credit (NC) grading is not available. Credit is awarded for only one of ENGL 004 or ENGL 004E."
ENGL,004L,ENGLISH WRITING,"1 Units, Laboratory, 3 hours. Prerequisite(s): concurrent enrollment in ENGL 004. Focuses on mastery of principles and applications of English grammar and idiomatic expression, as well as critical reading, for students who do not need, or have advanced beyond, second-language instruction. Graded Satisfactory (S) or No Credit (NC). Course is repeatable to a maximum of 3 units. Credit is awarded for only one of ENGL 004D, ENGL 004L, or ENGL 04DE."
ENGL,007,BUS100W WRITING WORKSHOP,"0.5 Units, Workshop, 0.5 hour. Prerequisite(s): concurrent enrollment in the corresponding WAC (Writing Across the Curriculum) course. Review the titles or topics in the current online Schedule of Classes to find the corresponding ENGL 007 lecture or laboratory course.. Focuses on exploring and practicing strategies for writing assignments in W-courses: close reading of prompts, forming a relevant thesis, and finding, selecting, and organizing evidence.  Graded Satisfactory (S) or No Credit (NC). Course is repeatable to a maximum of 2 units."
ENGL,012S,INTRO TO SCIENCE FICTION,"5 Units, Lecture, 3 hours; discussion, 1 hour; extra reading, 3 hours. An introduction to the study of topics, themes, or types of literature. Texts may be selected from any one or a combination of several time periods, genres, or forms. Topics include various national and ethnic literatures, LGBTQ+ literature, disability literature, and children's literature. Intended primarily for non-majors.   Course is repeatable as content or topic changes to a maximum of 10 units.   Credit is awarded to a maximum of 10 units for either or both ENGL 012 or ENGL 012S with different titles."
ENGL,020B,INTRODUCTION TO AMERICAN LITERARY TRADITION,"5 Units, Lecture, 3 hours; discussion, 1 hour; extra reading, 3 hours; written work, 2 hours. Introduces American literature from its beginnings focusing on historical and cultural contexts."
ENGL,020C,INTRODUCTION TO ALTERNATIVE CRITICAL PERSPECTIVES ON LITERATURE AND CULTURE,"5 Units, Lecture, 3 hours; discussion, 1 hour; extra reading, 3 hours; written work, 2 hours. Introduces work associated with alternative critical traditions. Includes one or more of the following perspectives on culture: feminist, Marxist, critical ethnic, decolonial, disability, queer, and techno-cultural."
ENGL,021,INTRODUCTION TO ASIAN AMERICAN LITERATURE,"5 Units, Lecture, 3 hours; extra reading, 6 hours. Introduction to the history, social background, culture, and literature of Asian America."
ENGL,101,CRITICAL THEORY,"4 Units, Lecture,3 hours; consultation, 1 hour. A study of major theoretical issues in representative critical and scholarly works."
ENGL,102W,INTRODUCTION TO CRITICAL METHODS,"4 Units, Lecture, 3 hours; extra reading, 3 hours. Prerequisite(s): a major in English; ENGL 001B with a grade of ""C"" or better; one of the following courses: ENGL 020A, ENGL 020B, ENGL 020C. An in-depth analysis of the formal features of several genres, as well as an introduction to theoretical and critical approaches. Fulfills the third-quarter writing requirement for students who earn a grade of ""C"" or better for courses that the Academic Senate designates, and that the student's college permits as alternatives to English 001C. Credit is awarded for only one of ENGL 102 or ENGL 102W."
ENGL,117B,SHAKESPEARE: COMEDY,"4 Units, Lecture, 3 hours; extra reading, 3 hours. Prerequisite(s): upper-division standing or consent of instructor. A close analytical study of plays selected from one of Shakespeare's dramatic genres as they are designated in the First Folio."
ENGL,121,PCOLONIAL LIT SOUTHEAST ASIA,"4 Units, Lecture, 3 hours; extra reading, 3 hours. Prerequisite(s):  restricted to class level standing of junior, or  senior;  or lower-division English course (other than composition);  or consent of instructor. Analyzes colonial discourse and the postcolonial condition of Asia, Africa, or the Caribbean. Topics may include historiography and subalternity; nationalism, gender, and sexuality; neocolonialism and trans-nationality; and theorizing resistance and the postcolonial identity.   Course is repeatable as content or topic changes to a maximum of 8 units."
ENGL,122,QUEER COMICS,"4 Units, Lecture, 3 hours; extra reading, 3 hours. Prerequisite(s):  restricted to class level standing of junior, or  senior. A study of topics on gender, sexuality and sexual identity. Covers issues such as gay and lesbian texts and contexts; sexual ideologies and literature; marginalized writers and texts; and the uses of theories of sexualities in the study of literature.   Course is repeatable as content or topic changes to a maximum of 12 units.  Cross-listed with LGBS 122."
ENGL,131,"AMERICAN LITERATURE, 1830 TO THE CIVIL WAR","4 Units, Lecture, 3 hours; extra reading, 3 hours. Prerequisite(s): upper-division standing or lower-division English course (other than composition) or consent of instructor. A study of innovation and conflict in the American Renaissance, as represented in such writers as Emerson, Hawthorne, Poe, Melville, Stowe, Thoreau, Douglass, and Whitman."
ENGL,134,"AMERICAN LITERATURE, 1945 TO THE PRESENT","4 Units, Lecture, 3 hours; extra reading, 3 hours. Prerequisite(s): a lower-division course in English (other than composition);  restricted to class level standing of junior, or  senior;  or consent of instructor. A study of postmodern, contemporary, and multicultural texts by such writers as Toni Morrison, Thomas Pynchon, Maxine Hong Kingston, Robert Lowell, Sylvia Plath, John Ashbery, and Leslie Marmon Silko."
ENGL,136T,STUDIES IN LATINA AND LATINO LITERATURE,"4 Units, Lecture, 3 hours; extra reading, 3 hours. Prerequisite(s): upper-division standing or lower-division English course (other than composition) or consent of instructor. A focused study of ideas, forms, or movements in Latina/o literature such as autobiography, growing-up narratives, popular discourses (teatro, the corrido, social movement poets), and the mainstream Latina/o literary ""booms."""
ENGL,137,JAPANESE AMERICAN INTERNMENT,"4 Units, Lecture, 3 hours; extra reading, 3 hours. Prerequisite(s):  restricted to class level standing of junior, or  senior;  or consent of instructor. Examines how literature represents experiences of displacement caused by colonization, migration, state violence or civil unrest, incarceration or internment, natural or human-made disasters, and other factors. Texts may include fiction, poetry, life writing, or visual media. Includes writers and texts from one or more countries or geographical regions.   Course is repeatable as content or topic changes to a maximum of 8 units."
ENGL,139,ASIAN AMERICAN LITERATURE,"4 Units, Lecture, 3 hours; extra reading, 3 hours. Prerequisite(s): upper-division standing or lower-division English course (other than composition) or consent of instructor. A critical survey of Asian American literature, with particular attention to aesthetic achievements, recurrent forms and themes, and interrelations with other American literatures."
ENGL,140,MODERNISMS,"4 Units, Lecture, 3 hours; extra reading, 3 hours. Prerequisite(s):  restricted to class level standing of junior, or  senior;  or consent of instructor. A practical and theoretical study of literary genres. Topics may include the lyric, the epic, the romance, tragedy, comedy, satire, autobiography, poetry, war literature, and children's literature.   Course is repeatable as content or topic changes to a maximum of 12 units."
ENGL,141,ENVIRONMENTALISM,"4 Units, Lecture, 3 hours; extra reading, 3 hours. Prerequisite(s):  restricted to class level standing of junior, or  senior. A critical, interdisciplinary survey of literature in relation to other areas of study. Topics may include medical humanities, public humanities, science and technology, legal studies, archive and manuscript studies, performance studies, and visual media.   Course is repeatable as content or topic changes to a maximum of 12 units."
ENGL,142,SPORTS SPECTACLE,"4 Units, Lecture, 3 hours; extra reading, 3 hours. Prerequisite(s):  restricted to class level standing of junior, or  senior;  or consent of instructor. Covers the formal, historical, and theoretical analysis of culture in its broadest sense. Includes popular literature, the mass media, and the interplay between “low” and “high” or peasant and elite cultural forms. Topics may be drawn from any historical field.   Course is repeatable as content or topic changes to a maximum of 12 units."
ENGL,145K,AFRICAN AMERICAN VISUAL CULTURE,"4 Units, Lecture, 3 hours; screening, 3 hours. Prerequisite(s): upper-division standing or consent of instructor. An intensive formal, historical, and theoretical analysis of a theme or issue in film, media, television, and visual culture. E. Hollywood in the 1960s; F. Television and American Culture; G. Film as Writing and Writing as Film; I. Liberal Hollywood and Social ""Problems""; J. The Horror Film; K. African American Visual Culture; M. The Male Nude in Photography and Film. Cross-listed with MCS 145(E-Z)."
ENGL,151B,MIDDLE ENGLISH LITERATURE: LATER FOURTEENTH CENTURY,"4 Units, Lecture, 3 hours; extra reading, 3 hours. Covers the great works of the later fourteenth century--Chaucer's  Troilus, Piers Plowman,  and the poems of the Gawain poet."
ENGL,172B,LITERATURE OF THE LATE VICTORIAN PERIOD,"4 Units, Lecture, 3 hours; extra reading, 3 hours. Prerequisite(s): upper-division standing or lower-division English course (other than composition) or consent of instructor. Covers Arnold, Ruskin, Swinburne, Pater, and Hopkins; the Pre-Raphaelites, the Aesthetic Movement, and Decadence."
ENGL,172T,STUDIES IN VICTORIAN LITERATURE,"4 Units, Lecture, 3 hours; extra reading, 3 hours. Prerequisite(s): upper-division standing or lower division English course (other than composition) or consent of instructor. A study of such ideas and movements as Romanticism, Utilitarianism, the Search for Standards, Evolution, Aestheticism, the New Naturalism, and Utopian theories, organized by areas or themes, as these ideas are reflected in the literature of the age."
ENGL,179SA,HISTORY OF SPECULATIVE FICTION,"5 Units, Lecture, 3 hours; discussion, 1 hour; extra reading, 3 hours. Prerequisite(s):  restricted to class level standing of junior, or  senior;  or lower-division English course (other than composition);  or consent of instructor. A historical survey of speculative fiction literature from the nineteenth century to the present.     Credit is awarded for one of the following  ENGL 179SA or ENGL 179A."
ENGL,189,ENGLISH CAPSTONE SEMINAR,"4 Units, Seminar, 3 hours; research, 3 hours. Prerequisite(s): ENGL 102 or ENGL 102W. Advanced undergraduate study of a specific topic proposed by instructor."
ENGL,190,SPECIAL STUDIES,"1 to 5 Units, To be taken with the consent of the Chair of the department as a means of meeting special curricular problems."
ENGL,198I,INDIVIDUAL INTERNSHIP IN ENGLISH,"1 to 12 Units, Internship, 3 to 36, Prerequisite(s): consent of instructor or upper division standing. Introduces the operations of professional societies, journals, archives, and cooperating agencies related to the study and management of literature and language. Explores the ongoing operations of these organizations.  Includes researching and writing analyses and/or histories under faculty supervision. Graded Satisfactory (S) or No Credit (NC). Course is repeatable to a maximum of 16 units."
ENGL,248,SEMINAR IN SCIENCE FICTION,"4 Units, Seminar, 3 hours; research, 3 hours. Prerequisite(s): graduate standing or consent of instructor. Intensive research in the history and theory of science fiction. Includes readings of significant primary texts and examinations of the genre from various critical perspectives (e.g. structuralist, Marxist, feminist). Course is repeatable to a maximum of 16 units."
ENGL,251,SEMINAR IN BLACK LITERARY AND CULTURAL STUDIES,"4 Units, Seminar, 3 hours; research, 3 hours. Prerequisite(s): graduate standing or consent of instructor. Analyzes black literary and cultural expression within a framework of interdisciplinary black studies and literary and cultural theory.  Examines the ways in which African American literature and/or the literatures of the African diaspora engage the histories of slavery, colonization, and freedom-making in the black Atlantic world. Course is repeatable to a maximum of 16 units."
ENGL,277,SEMINAR IN SEXUALITIES AND GENDERS,"4 Units, Seminar, 3 hours; research, 3 hours. Prerequisite(s): graduate standing or consent of instructor. Examines representations in a variety of literary, media, and critical genres by or of lesbians, gay men, transgenders, and others marginalized because of their sexuality or gender expression.   Topics may include the history of sexuality, camp, posthuman genders and sexualities, queer theory, and lesbian and gay literature and film. Course is repeatable as content changes."
ENGL,290,DIRECTED STUDIES,"1 to 4 Units, Consultation,1 to 3 hours; individual study, 12 hours. Prerequisite(s): consent of instructor and graduate advisor. Advanced research study culminating in written work. course is repeatable."
ENGL,292,CONCURRENT ANALYTICAL STUDIES,"1 to 4 Units, Research, 3 to 12 hours. Prerequisite(s): instructor approval, or approval of instructor in the field under whom the work will be carried out. Each 292 course will be taken concurrently with some 100 series course but on an individual basis. It will be devoted to research, criticism, and written work of a graduate order commensurate in amount with the number of units elected. ENGL 101 and ENGL 103 may not be used for this arrangement. Graded Satisfactory (S) or No Credit (NC). May be repeated for credit."
ENGL,297,DIRECTED RESEARCH,"1 to 6 Units, Research, 3 to 18 hours., Prerequisite(s): graduate standing or consent of instructor. Individual research by graduate students directed by a particular faculty member. Graded Satisfactory (S) or No Credit (NC). Course is repeatable."
ENGL,298I,INDIVIDUAL INTERNSHIP,"1 to 12 Units, Term paper, 1 to 6 hours; extra reading, 1 to 6 hours; internship, 1 to 24 hours. Prerequisite(s):  graduate standing;  and consent of instructor. Individual study or apprenticeship in a professional setting such as a Library, Museum, Archive, or Media and Arts Organization to gain practical experience and skills for future career. The number of units enrolled will depend upon the amount of internship hours per week.  Graded Satisfactory (S) or No Credit (NC). Course is repeatable to a maximum of 16 units."
ENGL,299,RESEARCH FOR THESIS OR DISSERTATION,"1 to 12 Units, Thesis, 3 to 36 hours. Prerequisite(s): graduate standing or consent of instructor. Research, under the direction of a faculty member, for preparation of the thesis or dissertation. Graded Satisfactory (S) or No Credit (NC). Course is repeatable; students may enroll in a maximum of 12 units per quarter."
ENGL,302,TEACHING PRACTICUM,"1 to 4 Units, Seminar, 1 to 4 hours. Prerequisite(s): graduate standing. A flexible program of meetings and conferences on the problems and techniques of writing instruction most pertinent to Basic Writing or to ENGL 001. Required of all TAs for at least five quarters, after which the TA may, with the permission of the Director of ENGL 001, elect to take ENGL 304 instead. Open to all graduate students. Graded Satisfactory (S) or No Credit (NC). May be repeated for credit."
ENGL,303,ADVANCED TEACHING PRACTICUM,"1 to 2 Units, Discussion, 1 hour; practicum, 1 to 3 hours. Prerequisite(s): graduate standing or consent of instructor. A flexible program of meetings and conferences on the problems and techniques of teaching literature, cultural studies, film studies, and related courses. Graded Satisfactory (S) or No Credit (NC). Course is repeatable."
ENGL,304,PROFESSIONAL RESEARCH PREPARATIONS,"4 Units, Seminar, 3 hours; research, 3 hours; consultation, 5 hours.  Prerequisite(s): consent of instructor. Covers the procedures, preparation, and presentation of oral and written research materials, including prospectus, with individual direction from instructor. Graded Satisfactory (S) or No Credit (NC)."
ENGL,410,SEMINAR IN PROFESSIONAL DEVELOPMENT,"2 Units, Workshop, 2 hours. Prerequisite(s): graduate standing or consent of instructor Provides a flexible program of meetings and workshops on the development of skills and practices of the professional literary scholar.  Includes conference presentations, academic publishing, pedagogy, grant writing, and other career-building practices. Graded Satisfactory (S) or No Credit (NC). course is repeatable to a maximum of 6 units."
ENTM,010,NATURAL HISTORY OF INSECTS,"4 Units, Lecture, 3 hours; discussion, 1 hour. A study of the world of insects and their impact on humankind. Designed for non-entomology majors. Utilizes living and preserved insects and other visual aids."
ENTM,101,EVOLUTION OF INSECT GENOMES,"4 Units, Lecture, 3 hours; research, 3 hours. Prerequisite(s): BIOL 005C with a grade of C- or better;  restricted to class level standing of sophomore, junior, or  senior. Introduces the field of insect genomics and bioinformatics. Provides hands-on bioinformatic instruction of structural and functional aspects of insect genomes within an evolutionary framework. Topics include the genomic basis of key insect innovations, insect phenotypes such as pesticide resistance, and host plant specialization. Prior knowledge of coding not required."
ENTM,107,INSECT BIODIVERSITY,"4 Units, Lecture, 3 hours; discussion, 1 hour; laboratory, 3 hours. Prerequisite(s): BIOL 100/ENTM 100 or consent of instructor. Introduces the science of insect systematics.  Emphasizes the diagnostic characters of the major taxa and insect biodiversity.  Laboratories focus on developing skills in insect identification to the family level."
ENTM,111,MOLECULAR BIOLOGY AND GENOMICS OF HUMAN DISEASE VECTORS,"3 Units, Lecture, 2 hours; discussion, 1 hour. Prerequisite(s): BIOL 005A with a grade of C or better, BIOL 05LA with a grade of C or better. Introduces human diseases transmitted by insects/arthropods (insect vectors) that claim about a million deaths annually and cause enormous suffering globally. Highlights adaptations that have contributed to the evolutionary success of disease vectors as well as biotechnological advances in vector control."
ENTM,112,SYSTEMATICS,"4 Units, Lecture, 3 hours; discussion, 1 hour. Prerequisite(s): BIOL 005C or equivalent. Principles and philosophy of classification: phylogenetic and phenetic methods, species concepts, taxonomic characters, evolution, hierarchy of categories, and nomenclature. Cross-listed with BIOL 112, and BPSC 112."
ENTM,126,MEDICAL AND VETERINARY ENTOMOLOGY,"4 Units, Lecture, 3 hours; laboratory, 3 hours. Prerequisite(s): BIOL 005B, BIOL 005C; or consent of instructor. Covers biology, ecology, and management of arthropods that affect human and animal health. Considers arthropods as direct pests and vectors of notorious diseases (e.g., malaria, plague). Also addresses disease epidemiology and prevention, as well as control of pests and associated diseases."
ENTM,127,INSECT ECOLOGY,"4 Units, Lecture, 3 hours; discussion, 1 hour. Prerequisite(s): BIOL 005A, BIOL 05LA or BIOL 020, BIOL 005B, BIOL 005C, CHEM 001C or CHEM 01HC, CHEM 008C or CHEM 08HC, MATH 007B or MATH 009B or MATH 09HB, PHYS 002C or PHYS 02HC, PHYS 02LC or PHYS 02HLC, BCH 100 or BCH 110A or BCH 110HA, one course in statistics; or consent of instructor.  Introduces principles of insect ecology with examples emphasizing the Arthropoda. Topics include factors governing population growth; ecological and evolutionary interactions with hosts, competitors, and natural enemies; structure of ecological communities; and adaptations to different environments. Cross-listed with BIOL 127."
